dataset,year_limit,nodes,edges,largest_component_nodes,largest_component_edges,sample_size,seed,estimated_average_distance,execution_time_seconds,question_5_total_execution_time_seconds
union,1960,6456,4570,164,179,16,0,5.898773006134969,2227.366,2794.805
union,1970,32470,25367,4168,4708,16,0,22.341042716582674,2227.366,2794.805
union,1980,121944,108393,40700,48634,16,0,15.899524558342957,2227.366,2794.805
union,1990,386769,400783,210121,274203,16,0,17.66976876308776,2227.366,2794.805
union,2000,1200285,1569895,900515,1361743,16,0,14.121175656347376,2227.366,2794.805
union,2010,3623830,6049851,3153937,5741096,16,0,11.034567382629197,2227.366,2794.805
union,2020,8453139,17127454,7813829,16731677,16,0,9.75893931245991,2227.366,2794.805
union,2023,9972422,21171144,9301176,20759906,16,0,9.657280478004123,2227.366,2794.805
